Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1653997020,601,0,-16,15,5000,14,23374,66
1653997021,601,0,-16,15,4999,14,23377,66
1653997022,601,0,-16,15,4999,14,23391,66
1653997023,601,0,-16,15,5000,14,23450,66
1653997024,601,0,-16,15,5000,14,23437,66
1653997025,601,0,-16,15,5000,15,23433,66
1653997026,601,0,-16,15,4999,14,23440,66
1653997027,601,0,-16,15,4999,14,23462,66
1653997028,601,0,-16,15,5001,14,23458,66
1653997029,601,0,-16,15,5002,14,23465,66
1653997030,601,0,-16,15,5001,14,23419,66
1653997031,601,0,-16,15,5000,14,23438,66
1653997032,601,0,-16,15,5000,14,23449,66
1653997033,601,0,-16,15,5000,14,23450,66
1653997034,601,0,-16,15,5000,14,23449,66
1653997035,601,0,-16,15,5000,14,23433,66
1653997036,601,0,-16,15,5000,14,23435,66
1653997037,601,0,-16,15,5000,14,23448,66
1653997038,601,0,-16,15,5000,14,23464,66
1653997039,601,0,-16,15,5001,14,23459,66
1653997040,601,0,-16,15,5000,14,23434,66
1653997041,601,0,-16,15,5000,15,23439,66
1653997042,601,0,-16,15,5000,14,23455,66
1653997043,601,0,-16,15,5000,14,23464,66
1653997044,601,0,-16,15,5000,14,23458,66
1653997045,601,0,-16,15,5000,14,23460,66
1653997046,601,0,-16,15,5000,14,23454,66
1653997047,601,0,-16,15,5000,14,23453,66
1653997048,601,0,-16,15,5000,14,23460,66
1653997049,601,0,-16,15,5000,14,23464,66
1653997050,601,0,-16,15,5001,14,23450,66
1653997051,601,0,-16,15,5001,14,23436,66
1653997052,601,0,-16,15,5000,14,23440,66
1653997053,601,0,-16,15,5000,14,23446,66
1653997054,601,0,-16,15,5000,14,23464,66
1653997055,601,0,-16,15,5001,13,23471,66
1653997056,601,0,-16,15,5001,14,23457,66
1653997057,601,0,-16,15,5001,14,23470,66
1653997058,601,0,-16,15,5001,14,23471,66
1653997059,601,0,-16,15,5001,14,23460,66
1653997060,601,0,-16,15,5000,14,23479,66
1653997061,601,0,-16,15,5000,14,23486,66
1653997062,601,0,-16,15,5001,14,23491,66
1653997063,601,0,-16,15,5001,14,23476,66
1653997064,601,0,-16,15,5000,14,23481,66
1653997065,601,0,-16,15,5000,14,23489,66
1653997066,601,0,-16,15,5001,14,23507,66
1653997067,601,0,-16,15,5001,14,23488,66
1653997068,601,0,-16,15,5000,14,23478,66
1653997069,601,0,-16,15,5000,14,23487,66
1653997070,601,0,-16,15,5000,14,23498,66
1653997071,601,0,-16,15,5001,14,23502,66
1653997072,601,0,-16,15,5002,14,23496,66
1653997073,601,0,-16,15,5001,14,23480,66
1653997074,601,0,-16,15,5001,14,23500,66
1653997075,601,0,-16,15,5002,14,23504,66
1653997076,601,0,-16,15,5002,14,23504,66
1653997077,601,0,-16,15,5002,14,23491,66
1653997078,601,0,-16,15,5001,14,23487,66
1653997079,601,0,-16,15,5001,14,23499,66
1653997080,601,0,-16,15,5001,14,23516,66
1653997081,601,0,-16,15,5002,14,23491,66
1653997082,601,0,-16,15,5002,14,23487,66
1653997083,601,0,-16,15,5001,14,23491,66
1653997084,601,0,-16,15,5001,14,23489,66
