Id,ActP__variance_larger_than_standard_deviation,ActP__sum_values,ActP__mean_abs_change,ActP__mean_change,ActP__median,ActP__mean,ActP__length,ActP__standard_deviation,ActP__variation_coefficient,ActP__variance,ActP__skewness,ActP__kurtosis,ActP__root_mean_square,ActP__count_above_mean,ActP__count_below_mean,ActP__maximum,ActP__absolute_maximum,ActP__minimum,ActP__number_peaks__n_5,"ActP__fft_aggregated__aggtype_""centroid""","ActP__fft_aggregated__aggtype_""variance""","ActP__fft_aggregated__aggtype_""skew""","ActP__fft_aggregated__aggtype_""kurtosis""",ActP__fourier_entropy__bins_5,ActP__fourier_entropy__bins_10,Current__variance_larger_than_standard_deviation,Current__sum_values,Current__mean_abs_change,Current__mean_change,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variation_coefficient,Current__variance,Current__skewness,Current__kurtosis,Current__root_mean_square,Current__count_above_mean,Current__count_below_mean,Current__maximum,Current__absolute_maximum,Current__minimum,Current__number_peaks__n_5,"Current__fft_aggregated__aggtype_""centroid""","Current__fft_aggregated__aggtype_""variance""","Current__fft_aggregated__aggtype_""skew""","Current__fft_aggregated__aggtype_""kurtosis""",Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Vibration__variance_larger_than_standard_deviation,Vibration__sum_values,Vibration__mean_abs_change,Vibration__mean_change,Vibration__median,Vibration__mean,Vibration__length,Vibration__standard_deviation,Vibration__variation_coefficient,Vibration__variance,Vibration__skewness,Vibration__kurtosis,Vibration__root_mean_square,Vibration__count_above_mean,Vibration__count_below_mean,Vibration__maximum,Vibration__absolute_maximum,Vibration__minimum,Vibration__number_peaks__n_5,"Vibration__fft_aggregated__aggtype_""centroid""","Vibration__fft_aggregated__aggtype_""variance""","Vibration__fft_aggregated__aggtype_""skew""","Vibration__fft_aggregated__aggtype_""kurtosis""",Vibration__fourier_entropy__bins_5,Vibration__fourier_entropy__bins_10
2022-06-22_06.46.00_2022-06-22_08.30.00,1,3890216,5.478669802,0,1913,1306.318334,2978,893.7522126,0.684176429,798793.0175,-0.758348538,-1.424399342,1582.801506,2017,961,1980,1980,3,180,136.920181,87222.27776,2.704671933,9.971337698,0.125255702,0.181213822,1,20464776580,46.75190392,-9.28E-08,1901,1899.005452,10776576,492.4944788,0.259343373,242550.8117,0.002564996,0.988044049,1961.828871,5474779,5301797,3203,3203,631,378304,1197275.894,2.12833E+12,1.333660819,4.903786456,0.090728994,0.090728994,1,20227839767,975.1751042,0.000128334,1857,1877.019173,10776576,841.6741904,0.448410012,708415.4429,0.324746514,1.280926343,2057.089307,5082675,5693901,4095,4095,0,830223,3367377.91,1.95207E+12,-0.642980086,103.6488456,1.11498767,1.777625805
2021-12-20_10.00.00_2021-12-20_11.55.00,1,2621924,16.83087028,0,109,430.4587096,6091,679.7111078,1.579039041,462007.19,1.351569511,-0.092355336,804.5507384,1310,4781,1862,1862,0,277,458.4162755,560260.0876,1.860662989,5.870903263,0.125255702,0.170467354,0,25065625.85,0.180111071,-6.29E-09,1.9,1.898479577,13203000,0.445996161,0.234922812,0.198912575,-0.006727907,0.736629937,1.950163398,6739142,6463858,3.527,3.527,0.405,421612,2173789.809,5.51473E+12,0.846403822,4.283016629,0.155664699,0.249957641,1,25099805370,2.426170978,7.57E-08,1901,1901.068346,13203000,3.239047892,0.001703804,10.49143125,-1.287418312,48.20205506,1901.071105,5859842,7343158,2084,2084,1686,592803,2494297.476,4.98899E+12,0.303894022,6.338194658,1.212017379,1.816128771
2022-06-02_07.45.00_2022-06-02_09.00.00,1,1079202,2.725992961,0.426344897,0,271.2244282,3979,614.4791473,2.265574496,377584.6224,1.84697362,1.414151158,671.6750054,640,3339,1705,1705,0,61,271.5529159,214786.6693,2.040875304,6.620160631,0.125255702,0.170467354,1,16618152505,26.75376201,-0.000112786,1900,1898.977832,8751104,293.2445503,0.154422314,85992.3663,-0.006159823,5.366858318,1921.486189,4700296,4050808,3057,3057,754,318516,988588.3969,1.33032E+12,1.331943309,5.271801093,0.090728994,0.090728994,1,16484151534,1116.680815,-0.000237913,1857,1883.665368,8751104,938.8791935,0.498432051,881494.14,0.295576673,0.609507148,2104.682721,3872438,4878666,4095,4095,0,693812,2799163.459,1.27861E+12,-0.609617884,115.1747885,1.197681187,1.809494642
2021-12-20_07.55.00_2021-12-20_09.45.00,1,1457618,13.46298984,0,73,302.1596186,4824,575.4172661,1.904348664,331105.0301,2.033392821,2.279219434,649.9272768,679,4145,1918,1918,0,191,361.5537024,334584.8999,1.872994508,6.050253847,0.090728994,0.170467354,0,16510185.84,0.039775637,0,1.901,1.899250643,8693000,0.315000897,0.165855359,0.099225565,-0.007400253,3.64384451,1.925195722,4384172,4308828,3.307,3.307,0.551,277500,922288.9691,1.3522E+12,1.62314393,5.652633386,0.090728994,0.13600217,1,16531100740,1.684048739,2.30E-07,1902,1901.65659,8693000,1.903186674,0.001000805,3.622119514,-1.707804137,457.564485,1901.657543,5015281,3677719,2126,2126,1595,319757,1199546.038,2.12254E+12,0.821067866,3.559619267,0.658464633,1.173215909
2022-02-25_11.25.00_2022-02-25_14.15.00,1,3766895,9.508586526,0,52,355.4009812,10599,645.6302517,1.816624843,416838.4219,1.61349343,0.661626594,736.9859424,1934,8665,1810,1810,0,442,685.7107104,1483019.446,2.107181273,6.873328628,0.090728994,0.170467354,1,38766791944,30.28000444,-2.45E-07,1902,1899.939539,20404224,328.2751813,0.172781909,107764.5946,-0.011572237,3.492171294,1928.090985,10734536,9669688,4095,4095,463,726780,2317021.329,6.60745E+12,1.353016458,5.75604617,0.090728994,0.090728994,1,38068601761,445.1896332,5.77E-05,1858,1865.721615,20404224,523.996421,0.280854559,274572.2492,0.571634407,7.682537438,1937.908511,9301776,11102448,4095,4095,0,1781109,6387452.652,7.3023E+12,-0.550012719,95.97837036,1.33266199,1.996531065
2022-04-04_07.56.00_2022-04-04_09.35.00,1,2623129,20.04037736,0.029056604,1603,989.4866088,2651,793.1484017,0.80157568,629084.3871,-0.323137331,-1.886476556,1268.135693,1537,1114,1763,1763,1,200,177.0725534,91861.25573,2.061271528,6.76523343,0.090728994,0.13600217,1,19822139158,27.25664224,-8.28E-05,1902,1900.035117,10432512,276.4182666,0.145480609,76407.05812,-0.004454294,6.728707165,1920.036589,5410416,5022096,3251,3251,576,443491,1050395.795,1.601E+12,1.579001497,5.9683981,0.090728994,0.090728994,1,19653885279,569.2533196,-1.53E-06,1858,1883.907277,10432512,842.5441284,0.44723227,709880.6083,0.42549533,2.104791469,2063.731387,4322731,6109781,4095,4095,0,721908,2486082.921,2.00666E+12,0.039763956,30.45133886,1.507336903,2.11601265
2022-06-07_07.10.00_2022-06-07_08.22.00,1,775893,14.95324123,1.805526036,70,823.6656051,942,826.522287,1.003468254,683139.0909,0.085719232,-1.990004901,1166.860797,450,492,1738,1738,2,50,59.97525956,11439.52585,2.179349865,7.213597162,0.13600217,0.181213822,1,16990448581,25.48958372,2.01E-06,1901,1899.294293,8945664,261.8168729,0.137849555,68548.07491,-0.008004063,7.893870869,1917.255039,4623755,4321909,3061,3061,743,376119,955619.6599,1.28606E+12,1.442465219,5.545310051,0.090728994,0.090728994,1,16845773964,840.8427869,2.37E-05,1858,1883.121696,8945664,855.465424,0.454280478,731821.0917,0.406027155,1.862493649,2068.325026,3929837,5015827,4095,4095,0,678358,2757067.031,1.31061E+12,-0.548921766,103.3984459,0.94174681,1.541144826
2022-02-24_13.45.00_2022-02-24_16.45.00,1,3815069,8.970857619,0,29,352.9203515,10810,638.0753199,1.807986751,407140.1138,1.578516691,0.548824335,729.1727425,2016,8794,1773,1773,0,442,741.0440143,1640803.501,2.002483918,6.397653575,0.090728994,0.170467354,1,31704205998,23.67184681,-1.20E-07,1902,1899.922599,16687104,248.3119234,0.13069581,61658.81129,-0.015914901,7.021377244,1916.080555,8745082,7942022,3166,3166,663,614111,2177313.011,4.85266E+12,1.111651176,6.00113872,0.090728994,0.090728994,1,31174729695,546.900259,-0.000135254,1858,1868.192929,16687104,610.3289656,0.326694827,372501.4463,0.48278144,5.012448194,1965.361612,7473537,9213567,4095,4095,0,1389523,5123828.955,5.2215E+12,-0.51469609,78.04918833,1.388257825,2.031235261
2022-07-07_10.25.00_2022-07-07_11.33.00,1,165651,2.289938217,0.000882613,20,36.54334878,4533,59.9653123,1.64093643,3595.838679,2.428217747,4.739727583,70.22289526,746,3787,259,259,0,167,390.77181,345508.4537,1.602766864,5.025396147,0.125255702,0.204870522,1,14039315288,10.03008557,1.49E-06,1901,1898.929202,7393280,49.51688706,0.026076215,2451.922104,-0.208488926,35.24401367,1899.574698,3972089,3421191,2398,2398,1391,292676,1119236.039,1.10019E+12,0.79239327,6.415324709,0.245901454,0.355233467,1,13851365600,846.4033352,-1.92E-05,1857,1873.50751,7393280,835.6637459,0.446042379,698333.8963,0.272607547,0.898397025,2051.429815,3527842,3865438,4095,4095,0,634432,1931479.678,9.14312E+11,-0.064132167,51.94553946,1.468928024,2.133512308
2022-03-21_13.04.00_2022-03-21_14.05.00,1,1123370,5.425256473,0.00024426,40,274.3272283,4095,542.5208275,1.977641194,294328.8482,2.065914157,2.458172442,607.9344343,728,3367,1675,1675,0,160,271.6933975,215873.7236,2.09605781,6.937235357,0.125255702,0.181213822,1,13013467140,21.84474318,2.33E-06,1901,1899.053198,6852608,231.5592646,0.121934059,53619.69303,-0.013321683,9.551219514,1913.118591,3490049,3362559,2965,2965,837,276530,756879.419,7.68928E+11,1.370056285,5.519336552,0.090728994,0.090728994,1,12738436147,217.6035332,-3.06E-06,1858,1858.917969,6852608,285.8633157,0.153779414,81717.83525,0.352389436,13.99198077,1880.769484,3395474,3457134,4095,4095,0,667180,1757283.205,7.0289E+11,-0.047225343,59.91593964,0.720601184,1.339329821
