Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1646108841,10194,656,309,735,5000,892,23256,3164
1646108842,10194,635,308,706,4999,898,23270,3036
1646108843,10194,618,295,560,5000,901,23280,2948
1646108844,10194,78,65,96,5000,748,23606,444
1646108845,10194,64,64,91,5000,698,23609,389
1646108846,10194,62,64,90,4999,692,23603,383
1646108847,10194,62,64,90,5000,690,23616,382
1646108848,10194,62,64,90,5000,689,23613,381
1646108849,10194,61,64,89,5000,688,23614,380
1646108850,10194,61,64,89,5000,686,23610,379
1646108851,10194,61,64,89,5000,686,23603,379
1646108852,10194,61,64,89,5000,684,23607,378
1646108853,10194,60,64,89,4999,682,23614,378
1646108854,10194,60,64,88,5000,680,23604,377
1646108855,10194,60,63,88,4999,680,23606,376
1646108856,10194,60,64,88,4999,680,23615,376
1646108857,10194,60,64,88,4999,679,23616,376
1646108858,10194,60,64,88,4999,679,23618,375
1646108859,10194,60,63,88,4999,679,23609,375
1646108860,10194,60,63,88,4999,679,23613,375
1646108861,10194,60,64,88,4999,678,23613,375
1646108862,10194,59,64,88,4999,677,23619,375
1646108863,10194,59,64,88,4999,677,23623,374
1646108864,10194,59,63,88,4999,676,23620,373
1646108865,10194,59,63,88,4999,675,23621,373
1646108866,10194,59,63,87,4999,674,23612,372
1646108867,10194,59,64,87,5000,672,23637,372
1646108868,10194,58,63,87,5000,672,23627,371
1646108869,10194,58,63,87,4999,669,23618,370
1646108870,10195,58,63,87,4999,668,23613,369
1646108871,10195,58,63,87,4999,667,23625,369
1646108872,10195,57,63,86,4999,666,23627,368
1646108873,10195,57,63,86,5000,664,23623,367
1646108874,10195,57,63,86,5000,663,23623,366
1646108875,10195,57,63,86,4999,662,23616,366
1646108876,10195,57,63,86,4999,662,23611,365
1646108877,10195,56,63,85,4999,658,23630,364
1646108878,10195,55,63,85,4999,654,23624,361
1646108879,10195,55,63,85,4999,654,23626,361
1646108880,10195,55,63,85,4999,652,23612,360
1646108881,10195,55,63,85,4999,653,23621,360
1646108882,10195,55,63,85,5000,652,23645,360
1646108883,10195,55,63,85,4999,652,23633,360
1646108884,10195,55,63,84,4999,651,23617,360
1646108885,10195,55,63,84,4998,650,23618,359
1646108886,10195,55,63,84,4999,651,23646,359
1646108887,10195,55,63,85,5000,649,23655,359
1646108888,10195,55,63,84,5000,649,23641,358
1646108889,10195,54,63,84,4999,649,23604,358
1646108890,10195,54,63,84,4999,646,23655,357
1646108891,10195,54,63,84,5000,647,23636,357
1646108892,10195,54,63,84,5000,647,23614,357
1646108893,10195,54,63,84,5000,646,23615,357
1646108894,10195,54,63,84,5000,645,23625,356
1646108895,10195,54,63,84,5000,644,23625,356
1646108896,10195,54,63,84,5000,643,23630,355
1646108897,10195,53,63,84,5000,642,23646,355
1646108898,10195,54,63,84,5000,642,23636,355
1646108899,10195,53,63,83,5000,641,23643,354
1646108900,10195,53,63,83,5000,639,23647,354
1646108901,10195,53,63,83,5000,640,23653,354
1646108902,10195,53,63,83,5000,640,23637,354
1646108903,10195,53,63,83,5000,639,23648,354
1646108904,10195,53,63,83,4999,641,23638,355
1646108905,10195,54,63,84,5000,642,23658,356
1646108906,10195,54,63,84,5000,642,23656,355
1646108907,10195,53,63,84,5000,642,23637,355
1646108908,10195,53,63,83,4999,641,23642,355
