Ts,ActP
1654510361,46
1654510362,2
1654510363,0
1654510364,0
1654510365,0
1654510366,0
1654510367,0
1654510368,0
1654510369,0
1654510370,0
1654510371,0
1654510372,0
1654510373,0
1654510374,0
1654510375,0
1654510376,0
1654510377,0
1654510378,0
1654510379,0
1654510380,0
1654510381,0
1654510382,0
1654510383,0
1654510384,0
1654510385,0
1654510386,0
1654510387,0
1654510388,0
1654510389,0
1654510390,0
1654510391,0
1654510392,0
1654510393,0
1654510394,0
1654510395,0
1654510396,0
1654510400,0
1654510400,0
1654510400,0
1654510402,0
1654510402,0
1654510402,0
1654510404,0
1654510404,0
1654510405,0
1654510406,0
1654510407,0
1654510408,0
1654510409,0
1654510410,0
1654510411,0
1654510412,0
1654510413,0
1654510414,0
1654510415,0
1654510416,0
1654510417,0
1654510418,0
1654510419,0
1654510420,0
1654510421,0
1654510422,0
1654510423,0
1654510424,0
1654510425,0
1654510426,0
1654510427,0
1654510428,0
1654510429,0
1654510430,0
1654510431,0
1654510432,0
1654510433,0
1654510434,0
1654510435,0
1654510436,0
1654510437,0
1654510438,0
1654510439,0
1654510440,0
1654510441,0
1654510442,0
1654510443,0
1654510444,0
1654510445,0
1654510446,0
1654510447,0
1654510448,0
1654510449,0
1654510450,0
1654510451,0
1654510452,0
1654510454,0
1654510455,0
1654510456,0
1654510457,0
1654510458,0
1654510459,0
1654510460,0
1654510461,0
1654510462,0
1654510463,0
1654510464,0
1654510465,0
1654510466,0
1654510467,0
1654510468,0
1654510469,0
1654510470,0
1654510471,0
1654510471,0
1654510472,0
1654510473,0
1654510474,0
1654510475,0
1654510476,0
1654510477,0
1654510478,0
1654510479,0
1654510480,0
1654510481,0
1654510482,0
1654510483,0
1654510484,0
1654510485,0
1654510486,0
1654510487,0
1654510488,0
1654510489,0
1654510490,0
1654510491,0
1654510492,0
1654510493,0
1654510494,0
1654510495,0
1654510496,0
1654510497,0
1654510498,0
1654510499,0
1654510500,0
1654510501,0
1654510502,0
1654510503,0
1654510504,0
1654510505,0
1654510506,0
1654510507,0
1654510508,0
1654510509,0
1654510510,0
1654510511,0
1654510512,0
1654510513,0
1654510514,0
1654510515,0
1654510516,0
1654510517,0
1654510518,0
1654510519,0
1654510520,0
1654510521,0
1654510522,0
1654510523,0
1654510524,0
1654510525,0
1654510526,0
1654510527,0
1654510528,0
1654510529,0
1654510530,0
1654510531,0
1654510532,0
1654510533,0
1654510534,0
1654510535,0
1654510536,0
1654510537,0
1654510538,0
1654510539,0
1654510540,0
1654510541,0
1654510542,0
1654510543,0
1654510544,0
1654510545,0
1654510546,0
1654510547,0
1654510548,0
1654510549,0
1654510550,0
1654510551,0
1654510552,0
1654510553,0
1654510554,0
1654510555,0
1654510556,0
1654510557,0
1654510558,0
1654510559,0
1654510560,0
1654510561,0
1654510562,0
1654510563,0
1654510564,0
1654510565,0
1654510566,0
1654510567,0
1654510568,0
1654510569,0
1654510570,0
1654510571,0
1654510572,0
1654510573,0
1654510574,0
1654510575,0
1654510576,0
1654510577,0
1654510578,0
1654510579,0
1654510580,0
1654510581,0
1654510582,0
1654510583,0
1654510584,0
1654510585,0
1654510586,0
1654510587,0
1654510588,0
1654510589,0
1654510590,0
1654510591,0
1654510592,0
1654510593,0
1654510594,0
1654510595,0
1654510596,0
1654510598,0
1654510598,0
1654510600,0
1654510600,0
1654510602,0
1654510603,0
1654510604,0
1654510605,0
1654510605,0
1654510606,0
1654510607,0
1654510608,0
1654510609,0
1654510610,0
1654510611,0
1654510612,0
1654510613,0
1654510614,0
1654510615,0
1654510616,0
1654510617,0
1654510618,0
1654510619,0
1654510620,0
1654510621,0
1654510622,0
1654510623,0
1654510624,0
1654510625,0
1654510626,0
1654510627,0
1654510628,0
1654510629,0
1654510630,0
1654510631,0
1654510632,0
1654510633,0
1654510634,0
1654510635,0
1654510636,0
1654510637,0
1654510638,0
1654510639,0
1654510640,0
1654510641,0
1654510642,0
1654510643,0
1654510644,0
1654510645,0
1654510646,0
1654510647,0
1654510648,0
1654510649,0
1654510650,0
1654510651,0
1654510652,0
1654510653,0
1654510654,0
1654510655,0
