Id,ActP__variance_larger_than_standard_deviation,ActP__sum_values,ActP__mean_abs_change,ActP__mean_change,ActP__median,ActP__mean,ActP__length,ActP__standard_deviation,ActP__variation_coefficient,ActP__variance,ActP__skewness,ActP__kurtosis,ActP__root_mean_square,ActP__count_above_mean,ActP__count_below_mean,ActP__maximum,ActP__absolute_maximum,ActP__minimum,ActP__number_peaks__n_5,"ActP__fft_aggregated__aggtype_""centroid""","ActP__fft_aggregated__aggtype_""variance""","ActP__fft_aggregated__aggtype_""skew""","ActP__fft_aggregated__aggtype_""kurtosis""",ActP__fourier_entropy__bins_5,ActP__fourier_entropy__bins_10,Current__variance_larger_than_standard_deviation,Current__sum_values,Current__mean_abs_change,Current__mean_change,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variation_coefficient,Current__variance,Current__skewness,Current__kurtosis,Current__root_mean_square,Current__count_above_mean,Current__count_below_mean,Current__maximum,Current__absolute_maximum,Current__minimum,Current__number_peaks__n_5,"Current__fft_aggregated__aggtype_""centroid""","Current__fft_aggregated__aggtype_""variance""","Current__fft_aggregated__aggtype_""skew""","Current__fft_aggregated__aggtype_""kurtosis""",Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Vibration__variance_larger_than_standard_deviation,Vibration__sum_values,Vibration__mean_abs_change,Vibration__mean_change,Vibration__median,Vibration__mean,Vibration__length,Vibration__standard_deviation,Vibration__variation_coefficient,Vibration__variance,Vibration__skewness,Vibration__kurtosis,Vibration__root_mean_square,Vibration__count_above_mean,Vibration__count_below_mean,Vibration__maximum,Vibration__absolute_maximum,Vibration__minimum,Vibration__number_peaks__n_5,"Vibration__fft_aggregated__aggtype_""centroid""","Vibration__fft_aggregated__aggtype_""variance""","Vibration__fft_aggregated__aggtype_""skew""","Vibration__fft_aggregated__aggtype_""kurtosis""",Vibration__fourier_entropy__bins_5,Vibration__fourier_entropy__bins_10,ActP__variance_larger_than_standard_deviation.1,ActP__sum_values.1,ActP__mean_abs_change.1,ActP__mean_change.1,ActP__median.1,ActP__mean.1,ActP__length.1,ActP__standard_deviation.1,ActP__variation_coefficient.1,ActP__variance.1,ActP__skewness.1,ActP__kurtosis.1,ActP__root_mean_square.1,ActP__count_above_mean.1,ActP__count_below_mean.1,ActP__maximum.1,ActP__absolute_maximum.1,ActP__minimum.1,ActP__number_peaks__n_5.1,"ActP__fft_aggregated__aggtype_""centroid"".1","ActP__fft_aggregated__aggtype_""variance"".1","ActP__fft_aggregated__aggtype_""skew"".1","ActP__fft_aggregated__aggtype_""kurtosis"".1",ActP__fourier_entropy__bins_5.1,ActP__fourier_entropy__bins_10.1
2022-03-12_03.09.30_2022-03-12_03.50.54,1,116951,0.483293959,0,46,39.4571525,2964,25.77251488,0.653177263,664.2225231,11.13464496,263.8243729,47.12843522,2454,510,644,644,0,8,422.3999523,171443.4492,1.090865862,6.467117192,0.662924466,1.156735279,0,225067.002,0.006273244,-3.58E-07,1.833,1.831599951,122880,0.063873019,0.0348728,0.004079763,-0.003521797,17.91572143,1.832713328,62362,60518,2.327,2.327,1.339,2337,3513.197128,97849566.69,3.891600518,18.27158555,0.090728994,0.13600217,1,226366102,22.93938753,5.70E-05,1841,1842.172054,122880,30.02093812,0.01629649,901.2567255,5.398136782,2098.200069,1842.416656,56652,66228,4095,4095,0,10632,22355.07671,370334927.6,0.179188019,7.143927387,0.741913126,1.340647554,1,1291195,0.203972409,-0.000550422,0,15.12115002,85390,24.45920856,1.617549494,598.2528833,5.27272211,110.9658114,28.7559048,27024,58366,644,644,0,102,13068.98403,136611208.3,0.879736104,7.510290336,0.278097576,0.840902518
2022-06-12_20.03.44_2022-06-12_20.28.12,1,71670,0.673511294,0,48,36.77270395,1949,30.33405857,0.824906937,920.1551092,8.539777395,159.1192108,47.6695591,1438,511,591,591,0,5,274.4714389,72046.45521,1.10895238,6.596315966,0.622610328,1.066264433,0,224634.84,0.005955761,-6.51E-08,1.828,1.828083008,122880,0.060356456,0.033016256,0.003642902,-0.03666333,17.48889385,1.829079109,61389,61491,2.282,2.282,1.342,2316,3393.734585,94125724.11,3.955524859,18.84686116,0.090728994,0.090728994,1,227872619,9.518347317,8.95E-05,1855,1854.432121,122880,12.34242141,0.006655634,152.3353664,42.7463911,7378.40209,1854.473194,65037,57843,3993,3993,1554,9777,14084.29877,362065458.4,1.079621885,3.63960189,1.027841274,1.484621435,1,1862251,0.382162965,0,0,21.44116563,86854,28.73220261,1.340048536,825.5394669,5.893628824,110.8736919,35.85056556,37528,49326,645,645,0,145,13256.04691,133953688.3,0.945963732,8.189024988,0.322205986,0.874691365
2022-03-14_20.03.56_2022-03-14_20.43.16,1,111360,0.527098831,0,46,39.43342776,2824,26.02678592,0.66001835,677.3935851,10.94227646,253.6328388,47.24816198,2330,494,637,637,0,6,404.8764685,156830.1626,1.081185352,6.467165178,0.65338962,1.145556589,0,225074.089,0.006283197,-8.95E-08,1.833,1.831657625,122880,0.062661081,0.03421004,0.003926411,-0.014124732,18.29650982,1.832729131,63254,59626,2.326,2.326,1.338,2426,3909.531474,98934094.09,3.742609,17.29467822,0.090728994,0.13600217,1,226366117,29.18861644,0,1841,1842.172176,122880,39.44508254,0.021412267,1555.914537,5.533951308,1264.343009,1842.594432,58408,64472,4095,4095,0,10572,24435.48496,342146905.7,-0.074663445,10.9174677,0.835259197,1.264419613,1,1186602,0.168742281,0,0,13.69545948,86642,23.73908927,1.733354716,563.5443595,5.375051793,115.3710716,27.40638557,24859,61783,652,652,0,103,12701.73647,135605718.5,0.988088308,7.349996187,0.492497592,0.996182787
2022-04-14_00.47.06_2022-04-14_01.17.55,1,88991,0.594501718,0,47,38.20996136,2329,27.448647,0.718363642,753.4282219,8.566922719,176.502382,47.04709735,1819,510,605,605,0,4,309.9855927,93189.50878,1.175565394,6.85301099,0.567949011,1.041853044,0,225133.952,0.006145566,-3.66E-07,1.834,1.832144792,122880,0.062329456,0.03401994,0.003884961,-0.038664786,17.84213805,1.833204707,63980,58900,2.308,2.308,1.344,2367,3526.874562,98579110.35,3.875390732,18.13687351,0.090728994,0.13600217,1,226420326,12.23978874,-0.000122071,1841,1842.61333,122880,11.26288244,0.00611245,126.8525209,0.06403427,11.62929771,1842.647752,56053,66827,2091,2091,1649,11162,13882.16791,363863312.4,0.994163333,3.349153222,0.278097576,0.67408583,1,1516766,0.289740828,0,0,19.22244189,78906,26.61261465,1.384455461,708.2312587,5.162560423,101.3428351,32.82885211,31360,47546,636,636,0,113,11672.65982,109558259.3,0.959000021,7.710007767,0.398680043,0.920179997
2022-04-20_10.09.42_2022-04-20_10.43.26,1,96081,0.574510587,0,46,38.37100639,2504,27.34779499,0.712720295,747.901891,9.95585422,214.1617033,47.11938054,1994,510,609,609,0,7,353.0105156,119857.2274,1.110299941,6.546980165,0.697668975,1.193377614,0,224990.15,0.006215846,-1.22E-07,1.831,1.830974528,122880,0.062770589,0.034282612,0.003940147,-0.042675542,17.95593485,1.832050182,64313,58567,2.318,2.318,1.332,2413,3516.189233,98442295.12,3.87959392,18.14195187,0.090728994,0.090728994,1,226293726,17.03315457,8.95E-05,1841,1841.583057,122880,15.62035773,0.008482027,243.9955756,1.542927855,103.4076593,1841.649302,57358,65522,2749,2749,1549,11045,17845.97498,410383060.3,0.601327423,3.660130073,0.415851437,0.960276914,1,1497415,0.257505787,0,0,17.2445701,86834,26.12056754,1.514712596,682.2840485,5.699721857,115.2315931,31.29950872,31128,55706,638,638,0,109,12863.33614,136043814.3,0.997297173,7.561501284,0.415851437,0.926940455
2022-04-29_01.40.04_2022-04-29_02.11.30,1,90070,0.629175476,0,47,38.06846999,2366,28.8590221,0.758082006,832.8431563,10.56406533,225.4917516,47.77082335,1856,510,665,665,0,6,344.902606,111313.1155,1.058010238,6.543852184,0.729769048,1.224106115,0,224883.268,0.006115846,1.71E-07,1.83,1.83010472,122880,0.062573502,0.034191214,0.003915443,-0.035840865,18.33432178,1.83117414,61412,61468,2.315,2.315,1.333,2360,3538.731882,98176388.65,3.864596366,18.0507737,0.090728994,0.090728994,1,226187361,15.62051286,2.44E-05,1840,1840.717456,122880,12.95073528,0.0070357,167.7215442,-0.089275469,7.766719562,1840.763014,57837,65043,2097,2097,1547,10484,14056.78612,369411662.2,0.92372484,3.160786048,0.200814335,0.31033698,1,1495334,0.261890441,0,0,17.29569613,86457,26.33802242,1.522807884,693.691425,5.803329294,116.746792,31.50924514,30936,55521,665,665,0,113,12723.08142,135245019.1,1.025305995,7.456775803,0.519445499,0.980573453
2022-04-14_12.45.31_2022-04-14_13.14.58,1,85209,0.588601959,0,47,37.9212283,2247,28.73241849,0.757686915,825.5518725,9.303328243,188.2110987,47.57700525,1737,510,606,606,0,4,315.7272169,95437.93324,1.112839829,6.604463963,0.6787306,1.193862426,0,225049.131,0.006134783,4.88E-08,1.833,1.831454517,122880,0.062058727,0.03388494,0.003851286,-0.024126424,17.98066865,1.832505643,62620,60260,2.317,2.317,1.35,2398,3545.601944,100070238.3,3.855796926,17.92700567,0.090728994,0.13600217,1,226343581,13.21140309,0.000113933,1841,1841.988778,122880,12.52158148,0.00679786,156.7900026,0.678463339,36.17682136,1842.031337,58119,64761,2362,2362,1664,11408,14930.75429,381266192.7,0.894795045,3.335456502,0.387336656,0.834094984,1,1612348,0.284770735,0,0,18.61747725,86604,26.82115825,1.440644073,719.3745299,5.458223467,106.596346,32.64942556,33182,53422,650,650,0,119,12598.44714,130260727.6,1.042601683,7.729718277,0.30073969,0.854441885
2022-04-12_20.08.05_2022-04-12_20.39.44,1,90519,0.581160639,0,47,38.04918033,2379,27.40168137,0.720164827,750.852142,9.051404598,187.038205,46.8891487,1869,510,592,592,0,7,331.8699484,105957.3126,1.114197618,6.595357551,0.670213936,1.18732298,0,224800.261,0.006118678,-3.50E-07,1.83,1.829429207,122880,0.062290989,0.034049412,0.003880167,-0.019169236,17.65066252,1.830489386,62454,60426,2.303,2.303,1.344,2515,3607.585727,99715170.13,3.824036707,17.73714873,0.090728994,0.13600217,1,226092808,12.52278257,-4.07E-05,1840,1839.947982,122880,12.0705269,0.006560254,145.6976196,-0.087740023,19.24341691,1839.987574,71386,51494,2146,2146,1533,11183,14385.3899,362933834.8,0.931312682,3.385313901,0.334825109,0.763834323,1,1585150,0.277468098,-0.000529783,0,18.25599742,86829,26.54180949,1.453867947,704.4676512,5.466576967,108.3818579,32.21411326,32761,54068,639,639,0,118,12599.86081,131467156.3,1.030795541,7.617033866,0.432357938,0.932766994
2022-04-24_21.25.29_2022-04-24_22.00.19,1,98569,0.545738858,0,46,38.51856194,2559,26.34658578,0.683997129,694.1425824,9.145249776,197.5618736,46.66714258,2049,510,605,605,0,4,343.1047064,114965.6778,1.175995408,6.770045392,0.622610328,1.083348855,0,224848.694,0.006207049,2.93E-07,1.831,1.829823356,122880,0.063159665,0.03451681,0.003989143,-0.026122727,17.74633352,1.830913067,63361,59519,2.32,2.32,1.343,2409,3610.737055,101743039.9,3.803071272,17.47729229,0.090728994,0.090728994,1,226153750,20.17734519,-1.63E-05,1840,1840.443929,122880,20.15034629,0.010948634,406.0364557,0.108512482,34.15472532,1840.554235,57741,65139,2523,2523,1402,11058,19745.34956,406461297.9,0.378844778,4.428083171,0.460283992,0.926587769,1,1345677,0.208743509,0,0,15.4935524,86854,25.04177179,1.616270507,627.0903342,5.582373493,116.6862722,29.44724945,28077,58777,651,651,0,89,12738.323,132625275.8,1.015561531,7.689734671,0.380794496,0.903740956
2022-03-14_12.02.25_2022-03-14_12.46.24,1,126047,0.457985888,0,47,40.41263225,3119,25.07169548,0.620392538,628.5899142,10.61009143,254.1683621,47.55807776,2609,510,612,612,0,11,436.8426332,186521.3306,1.117707339,6.456843276,0.680960404,1.165947117,0,225193.406,0.006354739,-4.07E-07,1.834,1.83262863,122880,0.064083476,0.034968065,0.004106692,-0.00906048,17.83183951,1.833748725,65324,57556,2.335,2.335,1.333,2584,3540.080274,98862682.74,3.868869237,18.05893842,0.090728994,0.13600217,1,226474768,26.85598841,-0.000236005,1842,1843.05638,122880,39.49991341,0.021431744,1560.243159,8.904528227,1455.769659,1843.479608,56918,65962,4095,4095,0,10671,23733.83857,330964349.7,0.02115159,10.51277252,0.800952097,1.30419109,1,1175500,0.151926783,-0.000553972,0,13.56638353,86648,23.42250667,1.726510726,548.6138187,5.111591539,109.7159708,27.06770365,24727,61921,652,652,0,92,12628.37523,135667520.4,0.992517374,7.259100555,0.228464705,0.792466661
